	id	comment	label
0	train_000000	dung dc sp tot cam on shop đóng_gói sản_phẩm đẹp chất_lượng sản_phẩm tuyệt_vời	0
1	train_000001	chất_lượng sản_phẩm tuyệt_vời son mịn đánh màu ảnh	0
2	train_000002	chất_lượng sản_phẩm tuyệt_vời k hộp k dây giày đen k tất	0
3	train_000003	hơi thất_vọng chút kỳ_vọng sách hi_vọng học_tập sinh_viên trường harvard nỗ_lực thức dậy thời_khắc đấy câu_chuyện câu_chuyện ẩn dấu cảm_nhận đi_sâu sách đơn_thuần sách dạy kĩ_năng hầu_như sách buồn	1
4	train_000004	mua áo_gió màu hồng ok đợt giao áo_gió chất vải mưa	1
5	train_000005	chất_lượng sản_phẩm tuyệt_vời cứng_cáp cố_định dáng đẹp hợp túi_tiền	0
6	train_000006	đc hàng tối trưa mai đóng_gói sản_phẩm đẹp shop phục_vụ	0
7	train_000007	siêu phẩm cấu_hình toàn tựa tựa ko đột_phá nâng_cấp kiểu_dáng htc vs giá cạnh_tranh vs siêu phẩm fan	1
8	train_000008	hàng ship chất_lượng tư_vấn nhiệt_tình ship đung size ủng_hộ shop nhìu	0
9	train_000009	đồng_hồ đẹp đứt dây k chạy mua ve sửa	1
10	train_000010	chất_lượng sản_phẩm tuyệt_vời y hình chụp tiền	0
11	train_000011	hjhj shop giao hàng đẹp lắm bé m	0
12	train_000012	đẹp phết	0
13	train_000013	đóng_gói đẹp chất_lượng sản_phẩm chất_lượng sản_phẩm tuyệt_vời	0
14	train_000014	săn đc giá toẹt_vời	0
15	train_000015	ok hài_lòng	0
16	train_000016	giao shop t t	1
17	train_000017	chất_lượng sản_phẩm tuyệt_vời	0
18	train_000018	giày đẹp lắm dây hơi ngắn tí chất_lượng sản_phẩm tuyệt_vời	0
19	train_000019	yếm vải đẹp mẫu đẹp	0
20	train_000020	chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm đẹp shop phục_vụ tiền tiền giao hàng hôm	0
21	train_000021	hài_lòng sản_phẩm lắm giặt lan da nhoe màu	1
22	train_000022	giao hàng mặc đẹp cám_ơn shop	0
23	train_000023	chất_lượng sản_phẩm tuyệt_vời bao_bì cute phô_mai que son đánh mịn cực bột giao hành max	0
24	train_000024	đồng_hồ đẹp kim chạy đứng nhắn_tin ko trả_lời mấy lưu_ý đừng mua	1
25	train_000025	giao hàng siêu đóng_gói cẩn_thận tư_vấn nhiệt_tình hạt thấm vị giòn	0
